,ticker,security,sector,subindustry,registered,founded
326,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,1935
327,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26,2004 (1865 / 1909)
328,MSI,Motorola Solutions,Information Technology,Communications Equipment,,1928 (2011)
329,MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04,1969
330,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,2008-10-22,1971
331,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,1992
332,NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,1997
333,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,1903
334,NEM,Newmont,Materials,Gold,1969-06-30,1921
335,NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,2013 (1980)
336,NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,2013 (1980)
337,NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,1984 (1925)
338,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09,1923
339,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,1964
340,NI,NiSource,Utilities,Multi-Utilities,,1912
341,NSC,Norfolk Southern,Industrials,Railroads,1957-03-04,1881/1894 (1980)
342,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,,1889
343,NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30,"1994 (Northrop 1939, Grumman 1930)"
344,NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25,1982
345,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,2011 (1966)
346,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,1992
347,NUE,Nucor,Materials,Steel,1985-04-30,1940
348,NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,1993
349,NVR,NVR,Consumer Discretionary,Homebuilding,2019-09-26,1980
350,NXPI,NXP,Information Technology,Semiconductors,2021-03-22,1953
351,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27,1957
352,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31,1920
353,ODFL,Old Dominion Freight Line,Industrials,Trucking,2019-12-09,1934
354,OMC,Omnicom Group,Communication Services,Advertising,,1986
355,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2010-03-15,1906
356,ORCL,Oracle,Information Technology,Application Software,1989-08-31,1977
357,OGN,Organon & Co.,Health Care,Pharmaceuticals,2021-06-03,2021
358,OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020-04-03,2020 (1853)
359,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1980-12-31,1905
360,PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26,1959
361,PH,Parker-Hannifin,Industrials,Industrial Machinery,1985-11-30,1917
362,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,,1971
363,PAYC,Paycom,Information Technology,Application Software,2020-01-28,1998
364,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20,1998
365,PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,2021-03-22,1972
366,PNR,Pentair,Industrials,Industrial Machinery,2012-10-01,1966
367,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13,1842
368,PEP,PepsiCo,Consumer Staples,Soft Drinks,1957-03-04,1898
369,PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31,1937
370,PFE,Pfizer,Health Care,Pharmaceuticals,1957-03-04,1849
371,PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,2008 (1847)
372,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,2012 (1917)
373,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,1985
374,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,1997
375,PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30,1845
376,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,1993
377,PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,1883
378,PPL,PPL,Utilities,Electric Utilities,,1920
379,PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22,1879
380,PG,Procter & Gamble,Consumer Staples,Personal Products,1957-03-04,1837
381,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1997-08-04,1937
382,PLD,Prologis,Real Estate,Industrial REITs,2003-07-17,1983
383,PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22,1875
384,PEG,PSEG,Utilities,Electric Utilities,1957-03-04,1903
385,PTC,PTC,Information Technology,Application Software,2021-04-20,1985
386,PSA,Public Storage,Real Estate,Specialized REITs,2005-08-19,1972
387,PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30,1956
